Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionBinary,SalaryAgeRatio,TenurePerRole,SatisfactionComposite,PromotionLag,IncomeVsRoleAvg,OvertimeFlag,CareerVelocity,ManagerTenureRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
41,1102,1,2,2,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,1,146.17073170731706,0.6666666666666666,2.0,6,0.8655052573522083,1,0.25,0.8333333333333334,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
49,279,8,1,3,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0,104.6938775510204,0.7,3.0,9,1.583346722025385,0,0.2,0.7,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
37,1373,2,2,4,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,1,56.486486486486484,0.0,3.0,0,0.6456256776081878,1,0.14285714285714285,0.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
33,1392,3,4,4,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0,88.15151515151516,0.875,3.25,5,0.8978470983180984,1,0.125,0.0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27,591,2,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0,128.44444444444446,1.0,2.5,0,1.0713061482991364,0,0.16666666666666666,1.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
32,1005,2,2,4,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,0,95.875,1.0,3.25,4,0.9477414253119234,0,0.125,0.8571428571428571,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
59,1324,3,3,3,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0,45.25423728813559,0.0,1.75,1,0.8247945259396465,1,0.08333333333333333,0.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
30,1358,24,1,4,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,0,89.76666666666667,0.0,3.0,1,0.8318994975114113,0,1.0,0.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
38,216,23,3,4,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,0,250.68421052631578,0.7777777777777778,3.0,8,1.3058012185725967,0,0.3,0.8888888888888888,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
36,1299,27,3,3,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0,145.47222222222223,1.0,2.5,0,0.6955989649872043,0,0.11764705882352941,1.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
35,809,16,3,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0,69.31428571428572,0.8,2.25,5,0.7494200449174466,0,0.16666666666666666,0.6,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
29,153,15,2,4,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0,144.58620689655172,0.5555555555555556,3.5,9,1.29526720871346,1,0.2,0.8888888888888888,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
